lab_id,lab_country,comment
fc601a,ARE,only test rows
cb060d,AUT,
f3a68b,AUT,a majority of participants selected Germany as country of residence
7fc76a,AUS,
c4198b,AUS,
07cc8d,CAN,
a3e428,CHE,
9bdc87,CHE,"probably only test rows, but some may be real data"
a6aefd,DEU,
086a2b,DEU,
905904,DEU,
2f579c,DEU,
82ce7b,DEU,
053396,DEU,
6898ef,DEU,
612ed8,DEU,
c13d3a,DEU,
4682df,DEU,
12c361,GBR,"specifically, England"
2c2ba6,GBR,only test rows
c7b55a,GRC,
60ca61,HUN,
f6d5a9,NOR,
1c0a06,NZL,
6ce754,POL,only test rows
cabbe9,POL,only test rows
d47b47,POL,
c1e6b4,POL,
466ec1,POL,
87d100,PRT,
6d2b97,ROU,
aba0ac,RUS,
ee46af,SGP,
9c8799,SVK,
0df1c5,TUR,
20a1ff,TWN,
098ad3,USA,
8e07d1,USA,
0eb4a7,USA,
f7f855,USA,
d6a41e,USA,
c89c37,USA,
9db02f,USA,
cfff8c,USA,
be121a,USA,
069afd,USA,
cff0fe,USA,
78a818,USA,
666a8e,USA,only empty rows
d4b020,USA,only empty rows
7fe877,USA,
06f361,USA,only empty/test rows
aa547b,USA,only empty rows
855e89,USA,
07d701,USA,only test rows
e53cc5,USA,
2a0af8,USA,only test rows
1df1e0,USA,only test rows
6c0ba6,USA,
ff4c4c,USA,"only test rows, _might_ contain 1 actual row"
ea9aea,USA,
b6c8ec,USA,
b28152,NA,only test rows
5a0c34,NA,"unknown, only test rows"
6280c3,NA,only test rows
521d24,NA,only test rows
55c9c4,NA,only test rows
64820c,NA,only test rows
3e9711,NA,
fg64rd,AUS,
